offset        : name          : size
0x000000000000: partitions    : 5120
0x000001000000: modem         : 134217728
0x000009000000: flashbackup   : 67108864
0x00000d000000: fatallog      : 67108864
0x000012000000: sbl1          : 262144
0x000012040000: sbl2          : 262144
0x000012080000: sbl3          : 2097152
0x000012280000: aboot         : 524288
0x000012300000: rpm           : 524288
0x000012380000: boot          : 10485760
0x000012d80000: tz            : 524288
0x000011000000: recovery      : 16777216
0x000013800000: system        : 1107296256
0x000056000000: userdata      : 5368709120
0x000196000000: GROW          : 134217728
0x00019e000000: persist       : 8388608
0x00019e800000: cache         : 377487360
0x0001b5000000: tombstones    : 73400320
0x0001b9600000: misc          : 1048576
0x0001b9700000: pad           : 1024
0x0001b9700400: ssd           : 8192
0x0001b9702400: modemst1      : 3145728
0x0001b9a02400: modemst2      : 3145728
0x0001b9d02400: fsg           : 3145728
0x0001ba002400: sbl2_bkp      : 262144
0x0001ba042400: sbl3_bkp      : 2097152
0x0001ba242400: aboot_bkp     : 524288
0x0001ba2c2400: rpm_bkp       : 524288
0x0001ba342400: tz_bkp        : 524288
0x0001ba3c2400: recovery_bkp  : 10485760
0x0001badc2400: fota_config   : 10485760
0x0001bb7c2400: MM            : 234881024
